Node Number	X Location (m)	Y Location (m)	Z Location (m)	
201	0,93397	-3,2618e-002	-6,8001e-002	
202	0,8847	-3,3428e-002	-6,8001e-002	
203	0,83542	-3,4237e-002	-6,8001e-002	
204	0,78615	-3,5047e-002	-6,8001e-002	
205	0,73688	-3,5856e-002	-6,8001e-002	
206	0,6876	-3,6666e-002	-6,8001e-002	
207	0,63833	-3,7475e-002	-6,8001e-002	
208	0,58906	-3,8284e-002	-6,8001e-002	
209	0,53978	-3,9094e-002	-6,8001e-002	
210	0,49051	-3,9903e-002	-6,8001e-002	
211	0,44123	-4,0713e-002	-6,8001e-002	
212	0,39196	-4,1522e-002	-6,8001e-002	
213	0,34269	-4,2331e-002	-6,8001e-002	
214	0,29341	-4,3141e-002	-6,8001e-002	
215	0,24414	-4,395e-002	-6,8001e-002	
217	0,19431	-4,4769e-002	-3,4001e-002	
267	2,6293	-4,7697e-003	-3,1001e-002	
340	2,63	-1,0759e-002	-6,8001e-002	
393	0,19496	0,14424	-6,8001e-002	
394	0,19441	0,14425	-3,4001e-002	
396	0,195	0,13223	-7,4001e-002	
397	2,5803	9,305e-002	-7,4001e-002	
398	2,5306	9,3867e-002	-7,4001e-002	
399	2,4809	9,4683e-002	-7,4001e-002	
400	2,4312	9,5499e-002	-7,4001e-002	
401	2,3815	9,6316e-002	-7,4001e-002	
402	2,3318	9,7132e-002	-7,4001e-002	
403	2,2821	9,7948e-002	-7,4001e-002	
404	2,2324	9,8765e-002	-7,4001e-002	
405	2,1828	9,9581e-002	-7,4001e-002	
406	2,1331	0,1004	-7,4001e-002	
407	2,0834	0,10121	-7,4001e-002	
408	2,0337	0,10203	-7,4001e-002	
409	1,984	0,10285	-7,4001e-002	
410	1,9343	0,10366	-7,4001e-002	
411	1,8846	0,10448	-7,4001e-002	
412	1,8349	0,1053	-7,4001e-002	
413	1,7852	0,10611	-7,4001e-002	
414	1,7355	0,10693	-7,4001e-002	
415	1,6858	0,10774	-7,4001e-002	
416	1,6361	0,10856	-7,4001e-002	
417	1,5864	0,10938	-7,4001e-002	
418	1,5367	0,11019	-7,4001e-002	
419	1,487	0,11101	-7,4001e-002	
420	1,4373	0,11183	-7,4001e-002	
421	1,3877	0,11264	-7,4001e-002	
422	1,338	0,11346	-7,4001e-002	
423	1,2883	0,11427	-7,4001e-002	
424	1,2386	0,11509	-7,4001e-002	
425	1,1889	0,11591	-7,4001e-002	
426	1,1392	0,11672	-7,4001e-002	
427	1,0895	0,11754	-7,4001e-002	
428	1,0398	0,11836	-7,4001e-002	
429	0,9901	0,11917	-7,4001e-002	
430	0,94041	0,11999	-7,4001e-002	
431	0,89071	0,12081	-7,4001e-002	
432	0,84102	0,12162	-7,4001e-002	
433	0,79133	0,12244	-7,4001e-002	
434	0,74163	0,12325	-7,4001e-002	
435	0,69194	0,12407	-7,4001e-002	
436	0,64224	0,12489	-7,4001e-002	
437	0,59255	0,1257	-7,4001e-002	
438	0,54286	0,12652	-7,4001e-002	
439	0,49316	0,12734	-7,4001e-002	
440	0,44347	0,12815	-7,4001e-002	
441	0,39378	0,12897	-7,4001e-002	
442	0,34408	0,12978	-7,4001e-002	
443	0,29439	0,1306	-7,4001e-002	
444	0,24469	0,13142	-7,4001e-002	
445	2,63	9,6478e-002	-7,2244e-002	
446	0,19495	0,13648	-7,2244e-002	
447	2,63	0,10424	-6,8001e-002	
448	0,19496	-5,0759e-002	-6,8001e-002	
449	0,19441	-5,0768e-002	-3,4001e-002	
450	0,195	-3,8757e-002	-7,4001e-002	
451	2,5003	-8,8665e-004	-7,4001e-002	
452	2,4513	-1,6924e-003	-7,4001e-002	
453	2,4022	-2,4981e-003	-7,4001e-002	
454	2,3532	-3,3039e-003	-7,4001e-002	
455	2,3041	-4,1096e-003	-7,4001e-002	
456	2,2551	-4,9154e-003	-7,4001e-002	
457	2,206	-5,7211e-003	-7,4001e-002	
458	2,157	-6,5269e-003	-7,4001e-002	
459	2,1079	-7,3326e-003	-7,4001e-002	
460	2,0589	-8,1384e-003	-7,4001e-002	
