0.80254,0,2.3902e+06,2.0879e+06,-0.47521,0,-0.47521,0,0,0,0
0.80257,-0.0053269,2.2734e+06,2.1486e+06,-0.47521,-0.015279,-0.47521,-5.6931e-06,-7.647e-09,-1.3656e-05,1.9119e-05
0.80257,0.010875,2.2603e+06,2.1554e+06,-0.47527,-0.099032,-0.47521,-8.0033e-06,-1.6553e-08,-3.9136e-05,6.562e-05
0.80257,-0.0034192,2.2428e+06,2.1645e+06,-0.47547,-0.30556,-0.47521,-9.988e-06,-2.8252e-08,-8.6671e-05,0.00014879
0.80258,0.017607,2.2095e+06,2.1818e+06,-0.47556,0.12057,-0.47521,-1.1671e-05,-4.2336e-08,-0.00010915,0.00018567
0.80258,-0.010543,2.1928e+06,2.1905e+06,-0.47542,0.1727,-0.47521,-1.3074e-05,-5.8426e-08,-8.7874e-05,0.00014866
0.80259,0.014032,2.1846e+06,2.1947e+06,-0.4754,-0.13718,-0.47521,-1.4221e-05,-7.6175e-08,-7.3038e-05,0.00012059
0.80258,-0.032071,2.2271e+06,2.1727e+06,-0.4754,0.14007,-0.47521,-1.5133e-05,-9.5263e-08,-5.9523e-05,9.8022e-05
0.80256,-0.0029511,2.3094e+06,2.1299e+06,-0.47532,0.0040091,-0.47521,-1.583e-05,-1.154e-07,-2.9835e-05,4.7435e-05
0.80256,0.0048446,2.3049e+06,2.1322e+06,-0.4752,0.2365,-0.47521,-1.6333e-05,-1.3631e-07,8.6692e-06,-1.8636e-05
0.80256,-0.00030645,2.2943e+06,2.1377e+06,-0.47511,-0.051926,-0.47521,-1.666e-05,-1.5776e-07,3.3609e-05,-6.8734e-05
0.80256,-0.007335,2.3122e+06,2.1284e+06,-0.47512,0.027313,-0.47521,-1.683e-05,-1.7954e-07,3.6517e-05,-7.163e-05
0.80256,0.0072304,2.3125e+06,2.1283e+06,-0.47523,-0.22829,-0.47521,-1.6859e-05,-2.0145e-07,1.4214e-05,-3.1126e-05
0.80257,0.0085339,2.2754e+06,2.1475e+06,-0.47534,0.0066341,-0.47521,-1.6763e-05,-2.2331e-07,-1.0841e-05,8.1312e-06
0.80258,0.010249,2.2313e+06,2.1705e+06,-0.4753,0.072213,-0.47521,-1.6559e-05,-2.4498e-07,-1.7179e-05,1.7715e-05
0.80258,0.0054615,2.1943e+06,2.1897e+06,-0.47536,-0.20625,-0.47521,-1.6259e-05,-2.6632e-07,-2.9964e-05,3.998e-05
0.80259,-0.0020779,2.1864e+06,2.1938e+06,-0.47541,0.11404,-0.47521,-1.5878e-05,-2.8721e-07,-4.1065e-05,5.7759e-05
0.80258,-0.0077063,2.2094e+06,2.1819e+06,-0.4754,-0.10003,-0.47521,-1.5426e-05,-3.0757e-07,-3.5737e-05,4.6558e-05
