Node Number	X Location (m)	Y Location (m)	Z Location (m)	
97	-9,055e-002	0,22093	-0,1015	
98	-8,253e-002	0,2248	-0,1015	
99	-7,6981e-002	0,23175	-0,1015	
100	-7,6981e-002	0,24911	-0,1015	
101	-8,253e-002	0,25607	-0,1015	
102	-9,055e-002	0,25993	-0,1015	
103	-9,945e-002	0,25993	-0,1015	
104	-0,10747	0,25607	-0,1015	
105	-0,11302	0,24911	-0,1015	
106	-0,114	0,24043	-0,1025	
107	-7,6e-002	0,24043	-0,1025	
108	-0,11145	0,23093	-0,1025	
109	-0,1045	0,22398	-0,1025	
110	-9,5e-002	0,22143	-0,1025	
111	-8,55e-002	0,22398	-0,1025	
112	-7,8546e-002	0,23093	-0,1025	
113	-7,8546e-002	0,24993	-0,1025	
114	-8,55e-002	0,25689	-0,1025	
115	-9,5e-002	0,25943	-0,1025	
116	-0,1045	0,25689	-0,1025	
117	-0,11145	0,24993	-0,1025	
118	-7,85e-002	0,24043	-0,1025	
119	-0,1115	0,24043	-0,1025	
120	-8,0711e-002	0,24868	-0,1025	
121	-8,675e-002	0,25472	-0,1025	
122	-9,5e-002	0,25693	-0,1025	
123	-0,10325	0,25472	-0,1025	
124	-0,10929	0,24868	-0,1025	
125	-0,10929	0,23218	-0,1025	
126	-0,10325	0,22614	-0,1025	
127	-9,5e-002	0,22393	-0,1025	
128	-8,675e-002	0,22614	-0,1025	
129	-8,0711e-002	0,23218	-0,1025	
130	-0,1115	0,24043	-0,1055	
131	-7,85e-002	0,24043	-0,1055	
132	-0,10929	0,23218	-0,1055	
133	-0,10325	0,22614	-0,1055	
134	-9,5e-002	0,22393	-0,1055	
135	-8,675e-002	0,22614	-0,1055	
136	-8,0711e-002	0,23218	-0,1055	
137	-8,0711e-002	0,24868	-0,1055	
138	-8,675e-002	0,25472	-0,1055	
139	-9,5e-002	0,25693	-0,1055	
140	-0,10325	0,25472	-0,1055	
141	-0,10929	0,24868	-0,1055	
142	-7,7e-002	0,24043	-0,1055	
143	-0,113	0,24043	-0,1055	
144	-7,9412e-002	0,24943	-0,1055	
145	-8,6e-002	0,25602	-0,1055	
146	-9,5e-002	0,25843	-0,1055	
147	-0,104	0,25602	-0,1055	
148	-0,11059	0,24943	-0,1055	
149	-0,11059	0,23143	-0,1055	
150	-0,104	0,22484	-0,1055	
151	-9,5e-002	0,22243	-0,1055	
152	-8,6e-002	0,22484	-0,1055	
153	-7,9412e-002	0,23143	-0,1055	
154	-0,113	0,24043	-0,1145	
155	-7,7e-002	0,24043	-0,1145	
156	-0,11059	0,23143	-0,1145	
157	-0,104	0,22484	-0,1145	
158	-9,5e-002	0,22243	-0,1145	
159	-8,6e-002	0,22484	-0,1145	
160	-7,9412e-002	0,23143	-0,1145	
161	-7,9412e-002	0,24943	-0,1145	
162	-8,6e-002	0,25602	-0,1145	
163	-9,5e-002	0,25843	-0,1145	
164	-0,104	0,25602	-0,1145	
165	-0,11059	0,24943	-0,1145	
166	-7,85e-002	0,24043	-0,1145	
167	-0,1115	0,24043	-0,1145	
168	-8,0711e-002	0,24868	-0,1145	
169	-8,675e-002	0,25472	-0,1145	
170	-9,5e-002	0,25693	-0,1145	
171	-0,10325	0,25472	-0,1145	
172	-0,10929	0,24868	-0,1145	
173	-0,10929	0,23218	-0,1145	
174	-0,10325	0,22614	-0,1145	
175	-9,5e-002	0,22393	-0,1145	
176	-8,675e-002	0,22614	-0,1145	
177	-8,0711e-002	0,23218	-0,1145	
178	-7,85e-002	0,24043	-0,1235	
179	-0,10929	0,23218	-0,1235	
180	-0,10325	0,22614	-0,1235	
181	-9,5e-002	0,22393	-0,1235	
182	-8,675e-002	0,22614	-0,1235	
183	-8,0711e-002	0,23218	-0,1235	
184	-8,0711e-002	0,24868	-0,1235	
185	-8,675e-002	0,25472	-0,1235	
186	-9,5e-002	0,25693	-0,1235	
187	-0,10325	0,25472	-0,1235	
188	-0,10929	0,24868	-0,1235	
189	-0,1105	0,24043	-0,1245	
190	-7,95e-002	0,24043	-0,1245	
191	-0,10754	0,23132	-0,1245	
192	-9,979e-002	0,22569	-0,1245	
193	-9,021e-002	0,22569	-0,1245	
194	-8,246e-002	0,23132	-0,1245	
195	-8,246e-002	0,24954	-0,1245	
196	-9,021e-002	0,25517	-0,1245	
197	-9,979e-002	0,25517	-0,1245	
