Node Number	X Location (m)	Y Location (m)	Z Location (m)	
144	-8,2625e-002	0,24043	-0,1165	
145	-0,11706	0,2313	-5,85e-002	
146	-0,10414	0,21837	-5,85e-002	
147	-8,5863e-002	0,21837	-5,85e-002	
148	-7,2942e-002	0,2313	-5,85e-002	
149	-7,2062e-002	0,24043	-5,5e-002	
150	-7,4675e-002	0,23201	-5,15e-002	
151	-7,4675e-002	0,24885	-5,15e-002	
152	-7,2942e-002	0,24957	-5,85e-002	
153	-8,5863e-002	0,26249	-5,85e-002	
154	-0,10414	0,26249	-5,85e-002	
155	-0,11706	0,24957	-5,85e-002	
156	-7,1903e-002	0,25	-5,85e-002	
157	-8,5433e-002	0,26353	-5,85e-002	
158	-0,10457	0,26353	-5,85e-002	
159	-0,1181	0,25	-5,85e-002	
160	-0,1181	0,23087	-5,85e-002	
161	-0,10457	0,21734	-5,85e-002	
162	-8,5433e-002	0,21734	-5,85e-002	
163	-7,1903e-002	0,23087	-5,85e-002	
164	-0,12	0,24043	-6,5e-002	
165	-0,1181	0,23087	-7,15e-002	
166	-0,10457	0,21734	-7,15e-002	
167	-8,5433e-002	0,21734	-7,15e-002	
168	-7,1903e-002	0,23087	-7,15e-002	
169	-7,1903e-002	0,25	-7,15e-002	
170	-8,5433e-002	0,26353	-7,15e-002	
171	-0,10457	0,26353	-7,15e-002	
172	-0,1181	0,25	-7,15e-002	
173	-7,5599e-002	0,24847	-7,15e-002	
174	-8,6964e-002	0,25983	-7,15e-002	
175	-0,10304	0,25983	-7,15e-002	
176	-0,1144	0,24847	-7,15e-002	
177	-0,11562	0,24441	-7,15e-002	
178	-0,1144	0,2324	-7,15e-002	
179	-0,11562	0,23646	-7,15e-002	
180	-0,10304	0,22103	-7,15e-002	
181	-8,6964e-002	0,22103	-7,15e-002	
182	-7,5599e-002	0,2324	-7,15e-002	
183	-0,11348	0,23278	-7,25e-002	
184	-0,11464	0,23665	-7,25e-002	
185	-0,10265	0,22195	-7,25e-002	
186	-8,7346e-002	0,22195	-7,25e-002	
187	-7,6522e-002	0,23278	-7,25e-002	
188	-7,6522e-002	0,24809	-7,25e-002	
189	-8,7346e-002	0,25891	-7,25e-002	
190	-0,10265	0,25891	-7,25e-002	
191	-0,11348	0,24809	-7,25e-002	
192	-0,11464	0,24422	-7,25e-002	
193	-0,115	0,24043	-8,7e-002	
194	-0,115	0,24043	-9,425e-002	
195	-0,115	0,24043	-7,975e-002	
196	-0,11348	0,23278	-0,1015	
197	-0,11464	0,23665	-0,1015	
198	-0,10265	0,22195	-0,1015	
199	-8,7346e-002	0,22195	-0,1015	
200	-7,6522e-002	0,23278	-0,1015	
201	-7,6522e-002	0,24809	-0,1015	
202	-8,7346e-002	0,25891	-0,1015	
203	-0,10265	0,25891	-0,1015	
204	-0,11348	0,24809	-0,1015	
205	-0,11464	0,24422	-0,1015	
206	-0,11255	0,23316	-0,1025	
207	-0,11366	0,23684	-0,1025	
208	-0,10227	0,22288	-0,1025	
209	-8,7729e-002	0,22288	-0,1025	
210	-7,7446e-002	0,23316	-0,1025	
211	-7,7446e-002	0,2477	-0,1025	
212	-8,7729e-002	0,25799	-0,1025	
213	-0,10227	0,25799	-0,1025	
214	-0,11255	0,2477	-0,1025	
215	-0,11366	0,24403	-0,1025	
216	-7,9756e-002	0,24675	-0,1025	
217	-8,8686e-002	0,25568	-0,1025	
218	-0,10131	0,25568	-0,1025	
219	-0,11024	0,24675	-0,1025	
220	-0,11024	0,23412	-0,1025	
221	-0,10131	0,22519	-0,1025	
222	-8,8686e-002	0,22519	-0,1025	
223	-7,9756e-002	0,23412	-0,1025	
224	-0,11024	0,23412	-0,1055	
225	-0,10131	0,22519	-0,1055	
226	-8,8686e-002	0,22519	-0,1055	
227	-7,9756e-002	0,23412	-0,1055	
228	-7,9756e-002	0,24675	-0,1055	
229	-8,8686e-002	0,25568	-0,1055	
230	-0,10131	0,25568	-0,1055	
231	-0,11024	0,24675	-0,1055	
232	-7,837e-002	0,24732	-0,1055	
233	-8,8112e-002	0,25706	-0,1055	
234	-0,10189	0,25706	-0,1055	
235	-0,11163	0,24732	-0,1055	
236	-0,11163	0,23354	-0,1055	
237	-0,10189	0,2238	-0,1055	
238	-8,8112e-002	0,2238	-0,1055	
239	-7,837e-002	0,23354	-0,1055	
240	-0,113	0,24043	-0,11	
241	-0,11163	0,23354	-0,1145	
242	-0,10189	0,2238	-0,1145	
243	-8,8112e-002	0,2238	-0,1145	
244	-7,837e-002	0,23354	-0,1145	
245	-7,837e-002	0,24732	-0,1145	
246	-8,8112e-002	0,25706	-0,1145	
247	-0,10189	0,25706	-0,1145	
248	-0,11163	0,24732	-0,1145	
249	-7,9756e-002	0,24675	-0,1145	
250	-8,8686e-002	0,25568	-0,1145	
251	-0,10131	0,25568	-0,1145	
252	-0,11024	0,24675	-0,1145	
253	-0,11024	0,23412	-0,1145	
254	-0,10131	0,22519	-0,1145	
255	-8,8686e-002	0,22519	-0,1145	
256	-7,9756e-002	0,23412	-0,1145	
257	-0,11024	0,23412	-0,1235	
258	-0,1112	0,23731	-0,1235	
259	-0,10131	0,22519	-0,1235	
260	-8,8686e-002	0,22519	-0,1235	
261	-7,9756e-002	0,23412	-0,1235	
262	-7,9756e-002	0,24675	-0,1235	
263	-8,8686e-002	0,25568	-0,1235	
264	-0,10131	0,25568	-0,1235	
265	-0,11024	0,24675	-0,1235	
266	-0,1112	0,24356	-0,1235	
267	-0,10932	0,2345	-0,1245	
268	-0,11022	0,2375	-0,1245	
269	-0,10093	0,22611	-0,1245	
270	-8,9068e-002	0,22611	-0,1245	
271	-8,068e-002	0,2345	-0,1245	
272	-8,068e-002	0,24636	-0,1245	
273	-8,9068e-002	0,25475	-0,1245	
274	-0,10093	0,25475	-0,1245	
275	-0,10932	0,24636	-0,1245	
276	-0,11022	0,24337	-0,1245	
277	-0,11493	0,23659	-7,1793e-002	
278	-0,11142	0,2288	-7,2022e-002	
279	-0,10605	0,22368	-7,2133e-002	
280	-9,89e-002	0,22075	-7,2149e-002	
281	-9,1158e-002	0,22051	-7,1793e-002	
282	-8,3856e-002	0,22373	-7,2113e-002	
283	-7,8302e-002	0,22931	-7,2152e-002	
284	-7,5074e-002	0,23659	-7,1793e-002	
285	-7,5308e-002	0,24436	-7,2108e-002	
286	-7,833e-002	0,2516	-7,215e-002	
287	-8,376e-002	0,25733	-7,1793e-002	
288	-9,107e-002	0,26012	-7,2108e-002	
289	-9,892e-002	0,26011	-7,2149e-002	
290	-0,10624	0,25733	-7,1793e-002	
291	-0,11142	0,25206	-7,2022e-002	
292	-0,11375	0,2482	-7,1793e-002	
293	-0,11493	0,24428	-7,1793e-002	
294	-0,11375	0,23266	-7,1793e-002	
295	-7,5521e-002	0,2359	-8,7e-002	
296	-0,10608	0,25708	-8,7e-002	
297	-8,9492e-002	0,25966	-8,7e-002	
298	-9,1189e-002	0,2208	-8,7e-002	
299	-7,8365e-002	0,25154	-8,7e-002	
300	-8,0848e-002	0,2263	-8,7e-002	
301	-0,11066	0,22799	-9,3447e-002	
302	-0,11068	0,22802	-8,0478e-002	
303	-0,11048	0,25309	-9,425e-002	
304	-0,11048	0,25309	-7,975e-002	
305	-9,8626e-002	0,2601	-8,7e-002	
306	-7,5336e-002	0,24408	-8,7e-002	
307	-0,10149	0,22151	-9,1975e-002	
308	-0,10157	0,22154	-8,1865e-002	
309	-8,1873e-002	0,25552	-9,309e-002	
310	-8,1776e-002	0,25544	-8,0763e-002	
311	-8,2615e-002	0,23743	-0,11951	
312	-0,10738	0,23743	-0,11951	
313	-0,10731	0,24322	-0,11839	
314	-8,2682e-002	0,24322	-0,11839	
315	-0,10735	0,24099	-0,12245	
316	-0,10325	0,23744	-0,11977	
317	-0,10325	0,24342	-0,11923	
318	-8,2649e-002	0,24099	-0,12245	
319	-8,6756e-002	0,23744	-0,11977	
320	-8,6756e-002	0,24342	-0,11923	
321	-9,5014e-002	0,24043	-0,1225	
322	-9,2938e-002	0,24343	-0,1195	
323	-9,708e-002	0,23743	-0,1195	
324	-0,10325	0,24071	-0,12249	
325	-8,6756e-002	0,24071	-0,12249	
326	-9,2938e-002	0,23743	-0,1195	
327	-9,708e-002	0,24343	-0,1195	
328	-9,3289e-002	0,24245	-5,15e-002	
329	-8,8514e-002	0,2386	-0,1245	
330	-0,10121	0,23776	-0,1245	
331	-9,6846e-002	0,24904	-0,1245	
332	-9,7044e-002	0,23102	-0,1245	
333	-9,8907e-002	0,23961	-6,7949e-002	
334	-9,9923e-002	0,25928	-6,4243e-002	
335	-0,11364	0,25009	-6,5105e-002	
336	-0,11519	0,24488	-6,4108e-002	
337	-8,8622e-002	0,26042	-6,5827e-002	
338	-8,9493e-002	0,25373	-6,1164e-002	
339	-9,4074e-002	0,24877	-7,7877e-002	
340	-7,8752e-002	0,2509	-6,5156e-002	
341	-0,11272	0,23542	-6,9209e-002	
342	-0,10113	0,22736	-6,3776e-002	
343	-0,11155	0,22953	-6,6074e-002	
344	-7,851e-002	0,24311	-5,9283e-002	
345	-0,10009	0,23379	-7,7507e-002	
346	-0,10097	0,24482	-8,7326e-002	
347	-0,10594	0,22292	-6,6162e-002	
348	-9,0725e-002	0,22226	-6,6451e-002	
349	-7,7578e-002	0,22954	-6,6755e-002	
350	-0,10718	0,24493	-0,10061	
351	-8,6488e-002	0,23658	-9,2279e-002	
352	-9,7371e-002	0,25197	-9,6989e-002	
353	-9,489e-002	0,23166	-9,2942e-002	
354	-0,105	0,23537	-0,10022	
355	-0,1116	0,24209	-0,10043	
356	-8,9165e-002	0,25455	-9,9037e-002	
357	-0,1009	0,22657	-9,9062e-002	
358	-8,4718e-002	0,24784	-9,8464e-002	
359	-8,6291e-002	0,23437	-0,10377	
360	-9,7008e-002	0,24531	-0,11294	
361	-9,1829e-002	0,23566	-0,11323	
362	-9,5816e-002	0,25131	-0,11882	
363	-9,8327e-002	0,25462	-0,10933	
364	-9,2343e-002	0,22708	-0,10954	
365	-0,10714	0,24676	-0,10955	
366	-0,10693	0,24275	-0,1139	
367	-8,3927e-002	0,2368	-0,11466	
368	-9,4202e-002	0,22941	-0,11801	
369	-0,10607	0,23631	-0,11459	
370	-8,7657e-002	0,24569	-0,11493	
371	-0,10259	0,22936	-0,11	
372	-0,10925	0,23743	-0,10813	
373	-0,10592	0,24723	-0,12092	
374	-8,6806e-002	0,25261	-0,10976	
375	-8,7867e-002	0,24793	-0,12303	
376	-0,10185	0,2321	-0,1205	
377	-8,1527e-002	0,24366	-0,10968	
378	-8,6653e-002	0,23286	-0,12037	
379	-0,10815	0,23734	-0,12245	
380	-0,10724	0,24884	-7,0619e-002	
381	-0,11215	0,24361	-7,1085e-002	
382	-0,10592	0,2526	-6,7278e-002	
383	-8,0414e-002	0,23708	-6,9904e-002	
384	-9,619e-002	0,22958	-0,10461	
385	-9,3386e-002	0,25223	-0,10443	
386	-8,7576e-002	0,23544	-7,8322e-002	
387	-8,4984e-002	0,22544	-6,2364e-002	
388	-9,9214e-002	0,22124	-6,665e-002	
389	-0,11019	0,23236	-6,892e-002	
390	-8,282e-002	0,24894	-7,2674e-002	
391	-8,5814e-002	0,25348	-7,0331e-002	
392	-0,10969	0,23621	-6,1855e-002	
393	-0,10187	0,24955	-0,10548	
394	-0,10748	0,23432	-0,11973	
395	-7,5054e-002	0,24409	-6,5974e-002	
396	-8,4179e-002	0,22984	-9,8032e-002	
397	-9,548e-002	0,24256	-0,10385	
398	-8,8448e-002	0,241	-0,10873	
399	-0,10213	0,24057	-0,10904	
400	-9,9892e-002	0,23422	-0,11457	
401	-0,11147	0,24344	-7,4863e-002	
402	-0,10913	0,23853	-7,1367e-002	
403	-9,9636e-002	0,25238	-7,0886e-002	
404	-0,1057	0,24914	-5,8557e-002	
405	-8,8327e-002	0,22888	-0,10318	
406	-9,2293e-002	0,22759	-7,0529e-002	
407	-8,3017e-002	0,246	-7,1797e-002	
408	-0,10825	0,23944	-7,9277e-002	
409	-8,3284e-002	0,24174	-0,10314	
410	-8,0143e-002	0,23911	-9,7719e-002	
411	-0,11422	0,2456	-6,8402e-002	
412	-0,10459	0,22968	-7,2458e-002	
413	-8,4437e-002	0,22935	-7,1676e-002	
414	-9,5289e-002	0,25537	-7,1847e-002	
415	-8,7847e-002	0,24949	-8,7728e-002	
416	-0,10332	0,23058	-8,7949e-002	
417	-8,1876e-002	0,23518	-0,10991	
418	-8,119e-002	0,24359	-0,1155	
419	-9,9524e-002	0,22599	-7,2244e-002	
420	-0,10703	0,23278	-0,10879	
421	-0,10804	0,24397	-6,6794e-002	
422	-0,11101	0,24788	-6,9275e-002	
423	-8,4817e-002	0,22723	-6,7729e-002	
424	-9,1346e-002	0,22707	-9,7924e-002	
425	-8,4751e-002	0,24801	-0,10792	
426	-0,11013	0,23645	-9,95e-002	
427	-0,10277	0,22997	-0,10477	
428	-0,11297	0,2405	-7,3731e-002	
429	-9,4462e-002	0,25929	-6,7791e-002	
430	-0,11386	0,2384	-7,0402e-002	
431	-0,10711	0,22675	-6,8333e-002	
432	-0,11562	0,23554	-6,3613e-002	
433	-7,4156e-002	0,23669	-6,5244e-002	
434	-0,10281	0,25254	-0,10909	
435	-8,3152e-002	0,2466	-0,11714	
436	-8,7131e-002	0,22857	-0,10898	
437	-8,7705e-002	0,25221	-0,10439	
438	-8,3417e-002	0,24494	-0,12184	
439	-9,7794e-002	0,22681	-0,10994	
440	-0,11123	0,23733	-7,5751e-002	
441	-0,10233	0,25349	-7,8092e-002	
442	-0,11469	0,24196	-6,8487e-002	
443	-8,9847e-002	0,2384	-0,1217	
444	-0,11146	0,23928	-0,11673	
445	-0,11146	0,24158	-0,11673	
446	-0,1115	0,24043	-0,1155	
447	-0,10944	0,24043	-0,1165	
448	-0,11146	0,23928	-0,12227	
449	-0,11146	0,24158	-0,12227	
450	-0,1115	0,24043	-0,123	
451	-0,111	0,24043	-0,1235	
452	-0,11143	0,23889	-0,123	
453	-0,11143	0,24197	-0,123	
454	-0,11086	0,23897	-0,1235	
455	-0,11086	0,2419	-0,1235	
456	-0,10944	0,23831	-0,12162	
457	-0,10942	0,24071	-0,12249	
458	-0,10983	0,23889	-0,12248	
459	-0,11127	0,23766	-0,11835	
460	-0,11147	0,23938	-0,11594	
461	-0,10938	0,23934	-0,11671	
462	-0,11095	0,23622	-0,11594	
463	-0,10938	0,23764	-0,11839	
464	-0,10872	0,23731	-0,11598	
465	-0,10942	0,23632	-0,11855	
466	-0,11127	0,23766	-0,12065	
467	-0,11083	0,23577	-0,117	
